Date,Open,High,Low,Close,Adj Close,Volume
2019-08-23,1361.75,1387.6500244140625,1352.0,1376.449951171875,1279.657958984375,326476
2019-08-26,1394.0,1405.0,1372.5,1396.9000244140625,1298.669921875,188165
2019-08-27,1396.75,1460.0,1391.800048828125,1441.699951171875,1340.319580078125,336804
2019-08-28,1440.0,1545.0,1434.5,1523.4000244140625,1416.274658203125,978369
2019-08-29,1525.0,1530.0,1471.4000244140625,1519.199951171875,1412.3697509765625,1004644
2019-08-30,1455.0,1511.8499755859375,1444.949951171875,1495.550048828125,1390.3829345703125,852009
2019-09-03,1479.0,1511.949951171875,1458.4000244140625,1467.0,1363.840576171875,428827
2019-09-04,1476.0,1488.5,1452.949951171875,1462.3499755859375,1359.5177001953125,221393
2019-09-05,1463.0,1468.699951171875,1435.0999755859375,1459.949951171875,1357.286376953125,277952
2019-09-06,1474.4000244140625,1474.4000244140625,1437.800048828125,1448.449951171875,1346.5948486328125,290536
2019-09-09,1447.0,1456.949951171875,1436.0,1445.25,1343.619873046875,281846
2019-09-11,1446.0,1455.3499755859375,1412.699951171875,1419.199951171875,1319.402099609375,272101
2019-09-12,1419.0999755859375,1432.0,1405.0999755859375,1410.449951171875,1311.2672119140625,323702
2019-09-13,1410.5999755859375,1426.9000244140625,1400.1500244140625,1411.199951171875,1311.9644775390625,169231
2019-09-16,1412.5,1414.0,1378.449951171875,1382.0,1284.81787109375,297432
2019-09-17,1372.0999755859375,1392.050048828125,1367.449951171875,1371.0,1274.591552734375,199176
2019-09-18,1365.0999755859375,1391.4000244140625,1342.800048828125,1362.1500244140625,1266.3638916015625,657165
2019-09-19,1350.4000244140625,1388.5,1347.5,1369.449951171875,1273.1502685546875,317680
2019-09-20,1363.0,1413.199951171875,1352.8499755859375,1401.75,1303.17919921875,505984
2019-09-23,1407.3499755859375,1429.5999755859375,1369.199951171875,1410.25,1311.0816650390625,344059
2019-09-24,1424.0,1453.0999755859375,1401.0,1429.0,1328.5128173828125,572805
2019-09-25,1437.0,1437.0,1398.0,1406.199951171875,1307.3160400390625,162380
2019-09-26,1400.0,1414.0,1382.300048828125,1389.4000244140625,1291.6973876953125,322106
2019-09-27,1355.0,1408.300048828125,1355.0,1394.050048828125,1296.0203857421875,313134
